 recorded at 2023-02-05 21:45:55.801286.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
1,17,2,1.0027421918699975e-05,0.025782591999999993,0.33858680725097656,0.33859683467289525,False
1,2030,3,3.0851013158309653e-06,0.0213468074798584,0.33258867263793945,0.3325917577392553,False
1,15,2,0.0,0.04767690300000002,0.37937259674072266,0.37937259674072266,False
1,16,2,0.0,0.05032531800000001,0.380007266998291,0.380007266998291,False
1,2900,4,0.0,1.4966371059417725,1.8025031089782715,1.8025031089782715,False
1,2901,4,0.0,3.489075183868408,3.7817041873931885,3.7817041873931885,False
1,18,2,0.0,0.052661627000000016,4.004563331604004,4.004563331604004,True
1,19,2,0.0,0.04986916900000002,5.127817869186401,5.127817869186401,True
1,20,2,0.0,0.045243069999999996,5.421311855316162,5.421311855316162,True
1,2032,3,0.0,0.021692991256713867,6.5037055015563965,6.5037055015563965,True
1,21,2,0.0,0.027364632000000014,7.039326906204224,7.039326906204224,True
2,22,2,0.0,0.01571165499999999,0.2607247829437256,0.2607247829437256,False
2,23,2,1.0027421918699975e-05,0.01337714000000001,0.2574477195739746,0.2574577469958933,False
2,2033,3,3.1069720701860527e-06,0.021636009216308594,0.28040552139282227,0.28040862836489244,False
2,2902,4,0.0,1.246473789215088,1.4947834014892578,1.4947834014892578,False
2,2903,4,0.0,2.8951094150543213,3.108752965927124,3.108752965927124,False
2,24,2,0.0,0.023248849999999988,3.935699701309204,3.935699701309204,True
2,25,2,0.0,0.04228349199999998,5.288316011428833,5.288316011428833,True
2,28,2,0.0,0.04017133499999999,5.907397747039795,5.907397747039795,True
2,27,2,0.0,0.059934976,5.937276363372803,5.937276363372803,True
2,26,2,0.0,0.03571010999999999,6.433088302612305,6.433088302612305,True
3,29,2,0.0,0.014217648999999999,0.16893768310546875,0.16893768310546875,False
3,30,2,1.0027421918699975e-05,0.01868856400000002,0.1766033172607422,0.17661334468266088,False
3,2036,3,3.1069720701860527e-06,0.021308183670043945,0.23956060409545898,0.23956371106752916,False
3,2904,4,0.0,1.2143402099609375,1.3620717525482178,1.3620717525482178,False
3,2905,4,0.0,2.758441209793091,2.8704986572265625,2.8704986572265625,False
3,35,2,0.0,0.033147376000000006,3.2027029991149902,3.2027029991149902,True
3,34,2,0.0,0.03727491399999999,3.7774949073791504,3.7774949073791504,True
