 recorded at 2023-02-09 18:48:23.464693.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 0.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
1,1744,3,1.928287792185222e-06,0.021686553955078125,0.2315976619720459,0.2315995902598381,False
1,15,2,9.228200253893217e-06,0.05073159999999999,0.30539870262145996,0.30540793082171386,False
1,2614,4,0.0,1.4646790027618408,1.6250579357147217,1.6250579357147217,False
1,16,2,0.0,0.04010599699999998,4.628139019012451,4.628139019012451,True
1,17,2,0.0,0.02997330999999999,5.1663978099823,5.1663978099823,True
1,1745,3,0.0,0.02174663543701172,6.549072980880737,6.549072980880737,True
1,18,2,0.0,0.06563937500000003,7.17348575592041,7.17348575592041,True
1,19,2,0.0,0.026788144000000014,7.187925815582275,7.187925815582275,True
2,1747,3,3.090287386522864e-06,0.021469831466674805,0.22610998153686523,0.22611307182425175,False
2,21,2,9.228200253893217e-06,0.015752482999999984,0.26111602783203125,0.26112525603228515,False
2,2616,4,0.0,1.2522242069244385,1.445803165435791,1.445803165435791,False
2,22,2,0.0,0.041546469,4.665069103240967,4.665069103240967,True
2,23,2,0.0,0.02385666800000001,5.423189878463745,5.423189878463745,True
2,25,2,0.0,0.027417649999999988,6.751561164855957,6.751561164855957,True
2,24,2,0.0,0.04782745099999999,7.385906457901001,7.385906457901001,True
2,1748,3,0.0,0.021515369415283203,7.983714580535889,7.983714580535889,True
3,27,2,9.228200253893217e-06,0.019219047000000045,0.24780488014221191,0.2478141083424658,False
3,1750,3,3.090287386522864e-06,0.021594524383544922,0.2647716999053955,0.26477479019278205,False
3,2618,4,0.0,1.0746369361877441,1.2524340152740479,1.2524340152740479,False
3,28,2,0.0,0.046616878,4.07225489616394,4.07225489616394,True
3,29,2,0.0,0.024783179999999988,5.931133508682251,5.931133508682251,True
3,31,2,0.0,0.028795594999999993,6.621194362640381,6.621194362640381,True
3,30,2,0.0,0.041979978,6.915591478347778,6.915591478347778,True
3,1751,3,0.0,0.02170085906982422,7.3479509353637695,7.3479509353637695,True
4,1753,3,3.090287386522864e-06,0.02167987823486328,0.32787346839904785,0.3278765586864344,False
4,33,2,9.228200253893217e-06,0.01864492499999998,0.3588588237762451,0.358868051976499,False
4,2620,4,0.0,0.9795181751251221,1.267850637435913,1.267850637435913,False
4,34,2,0.0,0.03805621099999998,5.188813209533691,5.188813209533691,True
4,35,2,0.0,0.023168590000000003,5.69919228553772,5.69919228553772,True
4,36,2,0.0,0.044752615999999995,6.3106348514556885,6.3106348514556885,True
4,37,2,0.0,0.030362104999999986,6.874049186706543,6.874049186706543,True
4,1754,3,0.0,0.02137279510498047,7.4092934131622314,7.4092934131622314,True
5,39,2,9.228200253893217e-06,0.014554353999999992,0.47932982444763184,0.47933905264788573,False
