 recorded at 2023-02-08 14:43:28.958875.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
1,2030,3,0.0,0.021520614624023438,0.24021148681640625,0.24021148681640625,False
1,15,2,0.0,0.044059440000000005,0.3184053897857666,0.3184053897857666,False
1,2031,3,3.0851013158309653e-06,0.029305458068847656,0.2929539680480957,0.29295705314941156,False
1,16,2,0.0,0.04703561700000003,0.31429433822631836,0.31429433822631836,False
1,17,2,1.0027421918699975e-05,0.045238942000000004,0.34021902084350586,0.34022904826542455,False
1,2900,4,0.0,1.5413858890533447,1.8112506866455078,1.8112506866455078,False
1,18,2,0.0,0.06995701799999998,4.555019378662109,4.555019378662109,True
1,19,2,0.0,0.05449606100000001,4.828327417373657,4.828327417373657,True
1,2901,4,0.0,4.6805031299591064,4.8808979988098145,4.8808979988098145,False
1,2032,3,0.0,0.021688461303710938,6.374753713607788,6.374753713607788,True
1,21,2,0.0,0.03174993099999998,6.398314952850342,6.398314952850342,True
2,22,2,0.0,0.015807084,0.30072903633117676,0.30072903633117676,False
2,2033,3,0.0,0.021984100341796875,0.33723974227905273,0.33723974227905273,False
2,23,2,1.0027421918699975e-05,0.017812139000000005,0.3679935932159424,0.3680036206378611,False
2,2034,3,3.1069720701860527e-06,0.021235942840576172,0.463334321975708,0.4633374289477782,False
2,2902,4,0.0,1.4762556552886963,1.9449667930603027,1.9449667930603027,False
2,24,2,0.0,0.029013068000000003,7.1640167236328125,7.1640167236328125,True
3,30,2,1.0027421918699975e-05,0.019981141000000036,0.2744472026824951,0.2744572301044138,False
3,29,2,0.0,0.015409589000000001,0.28469133377075195,0.28469133377075195,False
3,2036,3,0.0,0.023247480392456055,0.31221580505371094,0.31221580505371094,False
3,2037,3,3.1069720701860527e-06,0.021457195281982422,0.3433856964111328,0.343388803383203,False
3,2904,4,0.0,1.5646967887878418,1.8068444728851318,1.8068444728851318,False
3,2905,4,0.0,3.8308119773864746,4.0687971115112305,4.0687971115112305,False
3,33,2,0.0,0.06265512200000001,4.65351939201355,4.65351939201355,True
3,31,2,0.0,0.026116291999999985,5.421985149383545,5.421985149383545,True
3,35,2,0.0,0.027364633000000013,6.925906181335449,6.925906181335449,True
3,2038,3,0.0,0.021984577178955078,6.908448219299316,6.908448219299316,True
3,32,2,0.0,0.051411174000000004,6.927752733230591,6.927752733230591,True
