 recorded at 2023-02-08 10:21:10.088407.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
1,2032,3,4.375130047307765e-06,0.02169322967529297,0.22607159614562988,0.2260759712756772,False
1,18,2,0.0,0.07434992599999998,5.735999584197998,5.735999584197998,True
1,19,2,0.0,0.067775795,6.3425633907318115,6.3425633907318115,True
1,20,2,0.0,0.050900538999999995,7.864759922027588,7.864759922027588,True
2,2035,3,4.375130047307765e-06,0.023357868194580078,0.5419092178344727,0.54191359296452,False
2,2902,4,3.0851013158309653e-06,2.771674394607544,3.264392852783203,3.264395937884519,False
3,2038,3,4.375130047307765e-06,0.022783517837524414,0.21658802032470703,0.21659239545475434,False
3,2904,4,3.0851013158309653e-06,4.035860538482666,4.229858636856079,4.229861721957395,False
3,32,2,0.0,0.052112858999999984,5.030146598815918,5.030146598815918,True
3,35,2,0.0,0.024996771000000015,5.897170305252075,5.897170305252075,True
3,33,2,0.0,0.03750115500000001,6.047747850418091,6.047747850418091,True
3,34,2,0.0,0.03935976999999999,7.273369073867798,7.273369073867798,True
4,2041,3,4.375130047307765e-06,0.0220029354095459,0.37286949157714844,0.37287386670719574,False
4,2906,4,3.0851013158309653e-06,2.7078697681427,3.014106512069702,3.014109597171018,False
4,40,2,0.0,0.042921318000000014,7.592224836349487,7.592224836349487,True
4,39,2,0.0,0.054705577000000005,7.75653076171875,7.75653076171875,True
5,2044,3,4.375130047307765e-06,0.024089336395263672,0.6729545593261719,0.6729589344562192,False
5,2908,4,3.0851013158309653e-06,2.6848583221435547,3.336010694503784,3.3360137796051,False
5,47,2,0.0,0.05649489899999999,7.998967170715332,7.998967170715332,True
6,2047,3,4.375130047307765e-06,0.021584033966064453,0.4776585102081299,0.4776628853381772,False
6,2910,4,3.0851013158309653e-06,2.770040988922119,3.274742364883423,3.2747454499847386,False
7,2050,3,4.375130047307765e-06,0.022595882415771484,0.35918736457824707,0.3591917397082944,False
7,2912,4,3.0851013158309653e-06,3.0420238971710205,3.4487545490264893,3.448757634127805,False
7,60,2,0.0,0.053996448,7.607139348983765,7.607139348983765,True
8,2053,3,4.375130047307765e-06,0.02191781997680664,0.6590299606323242,0.6590343357623716,False
8,2914,4,3.0851013158309653e-06,2.6202080249786377,3.244769334793091,3.2447724198944066,False
