 recorded at 2023-02-08 09:02:25.586322.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 7500
"
0,1,1,0.0,0.03324103355407715,7.434269666671753,7.434269666671753,True
1,2336,3,4.375130047307765e-06,0.021448612213134766,0.2126481533050537,0.21265252843510102,False
1,23,2,0.0,0.050934005000000004,5.402570486068726,5.402570486068726,True
1,26,2,0.0,0.035397486000000006,6.37653112411499,6.37653112411499,True
1,24,2,0.0,0.05668647099999999,6.436489582061768,6.436489582061768,True
1,25,2,0.0,0.05341963700000002,6.989114999771118,6.989114999771118,True
2,29,2,6.197246867688924e-06,0.017324224,0.3070685863494873,0.307074783596355,False
2,28,2,6.197246867688924e-06,0.033823294000000004,0.3340785503387451,0.3340847475856128,False
2,2340,3,4.375130047307765e-06,0.02093648910522461,0.34901857376098633,0.34902294889103364,False
2,3510,4,3.1069720701860527e-06,3.375098943710327,3.71547794342041,3.7154810503924804,False
2,3509,4,3.1069720701860527e-06,3.4634013175964355,3.819443941116333,3.8194470480884033,False
2,27,2,0.0,0.039004971,6.7448649406433105,6.7448649406433105,True
2,30,2,0.0,0.026138963999999987,7.674987077713013,7.674987077713013,True
3,2344,3,4.375130047307765e-06,0.023647069931030273,0.5474638938903809,0.5474682690204282,False
3,3512,4,3.1069720701860527e-06,2.8167879581451416,3.3358798027038574,3.3358829096759277,False
3,39,2,0.0,0.050620238999999984,6.816708564758301,6.816708564758301,True
3,41,2,0.0,0.04545603699999998,7.1730968952178955,7.1730968952178955,True
3,42,2,0.0,0.02575676099999999,7.267473220825195,7.267473220825195,True
3,40,2,0.0,0.042920580000000014,7.695959806442261,7.695959806442261,True
4,2348,3,4.375130047307765e-06,0.021526575088500977,0.2258315086364746,0.22583588376652192,False
4,45,2,6.197246867688924e-06,0.035306699,0.3011133670806885,0.30111956432755616,False
4,44,2,6.197246867688924e-06,0.023190922000000003,0.3099191188812256,0.30992531612809326,False
4,46,2,6.197246867688924e-06,0.021623348000000014,0.3095822334289551,0.30958843067582276,False
4,48,2,0.0,0.051247527000000015,5.718179941177368,5.718179941177368,True
4,43,2,0.0,0.045619835,5.890867471694946,5.890867471694946,True
4,47,2,0.0,0.04313539100000002,6.273186206817627,6.273186206817627,True
4,50,2,0.0,0.024044944999999984,6.295016288757324,6.295016288757324,True
