 recorded at 2023-02-05 17:16:19.054134.
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 5000
"
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
1,3796,3,4.92938953915486e-06,0.021773099899291992,0.2501688003540039,0.25017372974354307,False
1,29,2,0.0,0.03738963299999999,0.3037607669830322,0.3037607669830322,False
1,31,2,6.920364743790962e-06,0.048647405000000005,0.3050682544708252,0.305075174835569,False
1,30,2,0.0,0.035294906000000015,0.30654287338256836,0.30654287338256836,False
1,5896,4,4.92938953915486e-06,2.133138656616211,2.350111484527588,2.350116413917127,False
1,37,2,0.0,0.038886314000000005,6.1637656688690186,6.1637656688690186,True
1,41,2,0.0,0.045610664999999995,7.541446208953857,7.541446208953857,True
1,39,2,0.0,0.023073573000000014,7.575164318084717,7.575164318084717,True
2,45,2,3.1069720701860527e-06,0.040286241,0.22863197326660156,0.22863508023867174,False
2,44,2,1.0027421918699975e-05,0.032332675000000005,0.2816951274871826,0.2817051549091013,False
2,3804,3,1.0027421918699975e-05,0.021547555923461914,0.27922892570495605,0.27923895312687474,False
2,43,2,0.0,0.016602276,0.3156862258911133,0.3156862258911133,False
2,5901,4,4.92938953915486e-06,2.170318126678467,2.416839122772217,2.416844052161756,False
2,52,2,0.0,0.025513661999999993,4.205397129058838,4.205397129058838,True
2,54,2,0.0,0.044238677000000004,4.23486590385437,4.23486590385437,True
2,3810,3,0.0,0.021554231643676758,5.517346382141113,5.517346382141113,True
2,5905,4,0.0,1.620861291885376,7.227617025375366,7.227617025375366,True
3,56,2,1.0027421918699975e-05,0.013553560999999992,0.1804037094116211,0.18041373683353978,False
3,55,2,0.0,0.01582668000000001,0.26214051246643066,0.26214051246643066,False
3,3811,3,1.0027421918699975e-05,0.021224021911621094,0.2435598373413086,0.24356986476322728,False
3,5906,4,4.92938953915486e-06,1.74405837059021,1.9471614360809326,1.9471663654704718,False
3,64,2,0.0,0.033330025,4.205007791519165,4.205007791519165,True
3,66,2,0.0,0.059454701,4.477392196655273,4.477392196655273,True
3,3817,3,0.0,0.021168947219848633,5.07023024559021,5.07023024559021,True
4,67,2,0.0,0.014621654000000012,0.11816740036010742,0.11816740036010742,False
4,68,2,1.0027421918699975e-05,0.01449436400000001,0.12053489685058594,0.12054492427250464,False
4,3819,3,1.0027421918699975e-05,0.021450281143188477,0.1463475227355957,0.1463575501575144,False
4,5911,4,4.92938953915486e-06,1.737485647201538,1.8425662517547607,1.8425711811443,False
4,76,2,0.0,0.027966181999999992,3.0746822357177734,3.0746822357177734,True
4,78,2,0.0,0.05020703499999998,4.144490957260132,4.144490957260132,True
5,80,2,1.0027421918699975e-05,0.014773513999999988,0.1301100254058838,0.13012005282780248,False
5,79,2,0.0,0.014825230000000023,0.14581918716430664,0.14581918716430664,False
5,3827,3,1.0027421918699975e-05,0.02093029022216797,0.1669301986694336,0.16694022609135228,False
5,5916,4,4.92938953915486e-06,1.7692618370056152,1.8952109813690186,1.8952159107585578,False
5,91,2,0.0,0.03605264699999999,3.1745967864990234,3.1745967864990234,True
5,92,2,0.0,0.025070513000000003,3.7172958850860596,3.7172958850860596,True
6,93,2,0.0,0.014678322000000021,0.14064645767211914,0.14064645767211914,False
6,94,2,1.0027421918699975e-05,0.014783633000000018,0.13751935958862305,0.13752938701054174,False
6,3834,3,1.0027421918699975e-05,0.021342992782592773,0.1354081630706787,0.1354181904925974,False
6,5921,4,4.92938953915486e-06,1.6379368305206299,1.7405292987823486,1.7405342281718879,False
7,105,2,0.0,0.01434128200000001,0.09928107261657715,0.09928107261657715,False
7,106,2,1.0027421918699975e-05,0.015792106000000028,0.10126829147338867,0.10127831889530738,False
7,3842,3,1.0027421918699975e-05,0.02108931541442871,0.08623361587524414,0.08624364329716284,False
7,5926,4,4.92938953915486e-06,1.6325504779815674,1.6889903545379639,1.688995283927503,False
8,117,2,0.0,0.014562942999999995,0.09667301177978516,0.09667301177978516,False
8,118,2,1.0027421918699975e-05,0.014442139999999992,0.09735965728759766,0.09736968470951636,False
8,3849,3,1.0027421918699975e-05,0.02121901512145996,0.08992457389831543,0.08993460132023413,False
