 recorded at 2023-02-09 10:11:55.124348.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 12500
"
0,3,1,0.0,0.03355765342712402,7.772644281387329,7.772644281387329,True
1,16,2,0.0,0.04514844100000001,4.536365747451782,4.536365747451782,True
1,15,2,0.0,0.04692221599999999,5.042094469070435,5.042094469070435,True
1,2029,4,0.0,2.3152971267700195,7.847838401794434,7.847838401794434,True
2,19,2,0.0,0.07329324699999998,7.248197555541992,7.248197555541992,True
3,23,2,0.0,0.05891448499999999,5.472224712371826,5.472224712371826,True
3,1438,3,0.0,0.0292813777923584,5.92569375038147,5.92569375038147,True
4,29,2,0.0,0.03440985799999999,7.336737871170044,7.336737871170044,True
6,39,2,0.0,0.04963699099999999,7.442025661468506,7.442025661468506,True
6,38,2,0.0,0.053714539000000006,7.5139548778533936,7.5139548778533936,True
7,42,2,0.0,0.070661994,6.963040828704834,6.963040828704834,True
7,1446,3,0.0,0.022719144821166992,7.843698501586914,7.843698501586914,True
8,46,2,0.0,0.05909885299999998,7.101956605911255,7.101956605911255,True
9,52,2,0.0,0.03610888400000001,6.936838388442993,6.936838388442993,True
10,57,2,0.0,0.04288925800000001,6.453723907470703,6.453723907470703,True
11,61,2,0.0,0.05886699200000001,6.3731372356414795,6.3731372356414795,True
11,62,2,0.0,0.03438155400000001,7.576101064682007,7.576101064682007,True
12,65,2,0.0,0.064103209,7.269164323806763,7.269164323806763,True
13,69,2,0.0,0.049971509,7.3926732540130615,7.3926732540130615,True
14,75,2,0.0,0.03750166799999999,7.065956115722656,7.065956115722656,True
14,74,2,0.0,0.06012727199999998,7.798216104507446,7.798216104507446,True
16,1465,3,4.375130047307765e-06,0.02290964126586914,0.4303288459777832,0.4303332211078305,False
17,88,2,0.0,0.06005665399999999,6.987474679946899,6.987474679946899,True
18,92,2,0.0,0.04339747500000002,7.634763717651367,7.634763717651367,True
19,97,2,0.0,0.065241505,7.9746832847595215,7.9746832847595215,True
23,115,2,0.0,0.05962404499999999,6.812802076339722,6.812802076339722,True
