 recorded at 2023-02-05 15:48:38.457232.
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
1,17,2,1.0027421918699975e-05,0.026144111999999997,0.21341395378112793,0.21342398120304662,False
1,16,2,0.0,0.03772915199999999,0.2496662139892578,0.2496662139892578,False
1,2030,3,3.0851013158309653e-06,0.023746252059936523,0.255169153213501,0.25517223831481683,False
1,15,2,0.0,0.03138308700000002,0.31673192977905273,0.31673192977905273,False
1,2900,4,0.0,1.8171331882476807,2.1080877780914307,2.1080877780914307,False
1,2901,4,0.0,3.6326675415039062,3.7969167232513428,3.7969167232513428,False
1,18,2,0.0,0.048840091,4.442162036895752,4.442162036895752,True
1,2032,3,0.0,0.022341489791870117,5.595055341720581,5.595055341720581,True
1,19,2,0.0,0.05623941399999999,5.654928922653198,5.654928922653198,True
1,20,2,0.0,0.05033126700000001,6.1107048988342285,6.1107048988342285,True
1,21,2,0.0,0.030683856999999995,7.16552209854126,7.16552209854126,True
2,23,2,1.0027421918699975e-05,0.016784310999999996,0.19577479362487793,0.19578482104679662,False
2,22,2,0.0,0.016625715000000013,0.22973275184631348,0.22973275184631348,False
2,2033,3,3.1069720701860527e-06,0.021330595016479492,0.29047417640686035,0.29047728337893053,False
2,2902,4,0.0,1.539160966873169,1.811417818069458,1.811417818069458,False
2,2903,4,0.0,3.037731885910034,3.175485849380493,3.175485849380493,False
2,25,2,0.0,0.03787549700000001,4.5953569412231445,4.5953569412231445,True
2,24,2,0.0,0.029548298,5.829269170761108,5.829269170761108,True
2,28,2,0.0,0.022122269,5.865077972412109,5.865077972412109,True
2,26,2,0.0,0.04304366499999998,6.1374640464782715,6.1374640464782715,True
2,27,2,0.0,0.03628770199999998,6.280388593673706,6.280388593673706,True
3,30,2,1.0027421918699975e-05,0.014130556999999988,0.1614367961883545,0.16144682361027318,False
3,29,2,0.0,0.018146033999999978,0.1664412021636963,0.1664412021636963,False
3,2036,3,3.1069720701860527e-06,0.021965742111206055,0.15956711769104004,0.15957022466311022,False
3,2904,4,0.0,1.9057302474975586,2.0338733196258545,2.0338733196258545,False
3,2905,4,0.0,2.3737120628356934,2.4965686798095703,2.4965686798095703,False
3,35,2,0.0,0.023050159,3.153822660446167,3.153822660446167,True
3,34,2,0.0,0.04908247099999999,3.7591543197631836,3.7591543197631836,True
4,37,2,1.0027421918699975e-05,0.01347800099999999,0.14316129684448242,0.1431713242664011,False
4,36,2,0.0,0.01590486299999999,0.16242361068725586,0.16242361068725586,False
4,2039,3,3.1069720701860527e-06,0.021764755249023438,0.21050572395324707,0.21050883092531725,False
4,2906,4,0.0,1.333582878112793,1.5185487270355225,1.5185487270355225,False
4,2907,4,0.0,2.148284435272217,2.329360008239746,2.329360008239746,False
4,41,2,0.0,0.03810165600000001,3.049083948135376,3.049083948135376,True
4,42,2,0.0,0.02933458500000001,3.5520071983337402,3.5520071983337402,True
5,44,2,1.0027421918699975e-05,0.018759354000000034,0.1477222442626953,0.147732271684614,False
5,43,2,0.0,0.01627495299999998,0.158308744430542,0.158308744430542,False
5,2042,3,3.1069720701860527e-06,0.021677255630493164,0.18151140213012695,0.18151450910219713,False
5,2908,4,0.0,1.2774717807769775,1.4299499988555908,1.4299499988555908,False
5,2909,4,0.0,2.111262083053589,2.255018472671509,2.255018472671509,False
5,48,2,0.0,0.041772012,3.093472719192505,3.093472719192505,True
5,49,2,0.0,0.029068233,4.294299125671387,4.294299125671387,True
6,51,2,1.0027421918699975e-05,0.019929423,0.10751175880432129,0.10752178622624,False
6,2045,3,3.1069720701860527e-06,0.021150827407836914,0.1050112247467041,0.10501433171877429,False
6,50,2,0.0,0.020463638999999978,0.12462186813354492,0.12462186813354492,False
6,2910,4,0.0,1.0129010677337646,1.0841877460479736,1.0841877460479736,False
6,2911,4,0.0,1.6920223236083984,1.762993574142456,1.762993574142456,False
7,57,2,0.0,0.01760610600000001,0.09520840644836426,0.09520840644836426,False
7,58,2,1.0027421918699975e-05,0.017534700000000014,0.09199881553649902,0.09200884295841773,False
7,2048,3,3.1069720701860527e-06,0.021521806716918945,0.09464406967163086,0.09464717664370105,False
