 recorded at 2023-02-09 21:52:54.769017.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
1,2031,3,4.375130047307765e-06,0.021905183792114258,0.4144284725189209,0.4144328476489682,False
1,16,2,1.0027421918699975e-05,0.07004672399999998,0.5747146606445312,0.5747246880664499,False
1,2901,4,0.0,3.493415117263794,3.845602512359619,3.845602512359619,False
1,17,2,0.0,0.064359004,5.668157577514648,5.668157577514648,True
1,20,2,0.0,0.037864076999999996,6.5099639892578125,6.5099639892578125,True
1,18,2,0.0,0.07485851399999999,6.581591367721558,6.581591367721558,True
1,21,2,0.0,0.04038014199999998,7.2245564460754395,7.2245564460754395,True
2,23,2,1.0027421918699975e-05,0.026487790999999983,0.28363847732543945,0.28364850474735814,False
2,2034,3,4.375130047307765e-06,0.022289752960205078,0.3039405345916748,0.3039449097217221,False
2,2903,4,0.0,2.844672918319702,3.0500893592834473,3.0500893592834473,False
2,25,2,0.0,0.040674005999999985,4.284912586212158,4.284912586212158,True
2,27,2,0.0,0.047412335,6.485448360443115,6.485448360443115,True
2,24,2,0.0,0.05578118700000001,6.601634502410889,6.601634502410889,True
2,28,2,0.0,0.048328412000000015,7.240281581878662,7.240281581878662,True
3,2037,3,4.375130047307765e-06,0.02217578887939453,0.26526522636413574,0.26526960149418305,False
3,30,2,1.0027421918699975e-05,0.03498126999999995,0.3101537227630615,0.3101637501849802,False
3,2905,4,0.0,1.98637056350708,2.2038636207580566,2.2038636207580566,False
3,31,2,0.0,0.04687577599999998,5.0117974281311035,5.0117974281311035,True
3,34,2,0.0,0.068991456,6.674850702285767,6.674850702285767,True
3,32,2,0.0,0.048498031000000025,6.778488874435425,6.778488874435425,True
3,35,2,0.0,0.04733185100000001,7.296609163284302,7.296609163284302,True
4,37,2,1.0027421918699975e-05,0.022438084999999997,0.3078281879425049,0.3078382153644236,False
4,2040,3,4.375130047307765e-06,0.02395033836364746,0.47357654571533203,0.47358092084537934,False
