 recorded at 2023-05-18 06:52:39.154794.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000,
"
 recorded at 2023-05-18 10:36:29.033271.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000,
"
 recorded at 2023-05-18 12:35:18.189441.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000,
"
1,2030,3,0.0,0.022457361221313477,0.18979859352111816,0.18979859352111816,False
1,2031,3,4.375130047307765e-06,0.02438521385192871,0.20430231094360352,0.20430668607365082,False
1,15,2,0.0,0.059216992000000024,0.27095484733581543,0.27095484733581543,False
1,16,2,1.0027421918699975e-05,0.090084688,0.31396985054016113,0.3139798779620798,False
1,2900,4,0.0,2.5946693420410156,2.7613799571990967,2.7613799571990967,False
1,2901,4,0.0,3.680401086807251,3.859560966491699,3.859560966491699,False
1,18,2,0.0,0.04926507799999999,4.1745641231536865,4.1745641231536865,True
1,20,2,0.0,0.08277646,4.545449256896973,4.545449256896973,True
1,19,2,0.0,0.05552347299999999,4.863992691040039,4.863992691040039,True
1,17,2,0.0,0.06481805600000001,5.499208211898804,5.499208211898804,True
1,21,2,0.0,0.056998461,5.99444317817688,5.99444317817688,True
1,2032,3,0.0,0.021450281143188477,6.478300094604492,6.478300094604492,True
2,23,2,1.0027421918699975e-05,0.042591983,0.248060941696167,0.24807096911808568,False
2,22,2,0.0,0.03303927099999998,0.25322723388671875,0.25322723388671875,False
2,2034,3,4.375130047307765e-06,0.022527456283569336,0.23995161056518555,0.23995598569523285,False
2,2033,3,0.0,0.02980208396911621,0.25458598136901855,0.25458598136901855,False
2,2902,4,0.0,1.959204912185669,2.155315399169922,2.155315399169922,False
2,2903,4,0.0,2.5754077434539795,2.7653770446777344,2.7653770446777344,False
2,24,2,0.0,0.04247936700000002,4.034769296646118,4.034769296646118,True
2,25,2,0.0,0.03968507800000001,4.572445392608643,4.572445392608643,True
2,27,2,0.0,0.05920521200000001,4.618416786193848,4.618416786193848,True
2,26,2,0.0,0.04399083599999998,5.569784164428711,5.569784164428711,True
2,28,2,0.0,0.05425719299999998,5.671664237976074,5.671664237976074,True
3,29,2,0.0,0.023569956000000003,0.21470379829406738,0.21470379829406738,False
3,2037,3,3.296725726066477e-06,0.021350860595703125,0.19945478439331055,0.19945808111903662,False
3,30,2,1.0027421918699975e-05,0.024867593999999993,0.22202372550964355,0.22203375293156224,False
3,2036,3,0.0,0.021335601806640625,0.27796268463134766,0.27796268463134766,False
3,2904,4,0.0,1.9334161281585693,2.1119799613952637,2.1119799613952637,False
3,2905,4,0.0,2.6750521659851074,2.9091970920562744,2.9091970920562744,False
3,31,2,0.0,0.050373481,4.016337871551514,4.016337871551514,True
3,32,2,0.0,0.041496033000000015,4.0293498039245605,4.0293498039245605,True
3,34,2,0.0,0.07129133800000001,4.748920917510986,4.748920917510986,True
3,33,2,0.0,0.04270789999999999,5.252535343170166,5.252535343170166,True
3,35,2,0.0,0.046044553000000016,5.777037858963013,5.777037858963013,True
4,36,2,0.0,0.02298644999999999,0.1486952304840088,0.1486952304840088,False
4,2039,3,0.0,0.02164483070373535,0.2206275463104248,0.2206275463104248,False
4,37,2,1.0027421918699975e-05,0.028675055000000005,0.25489282608032227,0.25490285350224096,False
4,2906,4,0.0,2.007614850997925,2.201561689376831,2.201561689376831,False
4,2907,4,0.0,2.39314866065979,2.4983792304992676,2.4983792304992676,False
4,39,2,0.0,0.05275946200000001,3.9920449256896973,3.9920449256896973,True
