 recorded at 2023-02-09 11:23:10.179486.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
 recorded at 2023-02-09 11:39:49.832798.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.01,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
 recorded at 2023-02-09 13:14:59.406586.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
 recorded at 2023-02-09 13:32:19.891595.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
 recorded at 2023-02-09 13:55:25.182993.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 0.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
1,1744,3,3.1069720701860527e-06,0.02230072021484375,0.24044489860534668,0.24044800557741686,False
1,16,2,0.0,0.05762503799999999,6.259708642959595,6.259708642959595,True
1,17,2,0.0,0.05123090800000002,6.314626932144165,6.314626932144165,True
1,19,2,0.0,0.030991113,7.038550615310669,7.038550615310669,True
2,1747,3,3.1069720701860527e-06,0.021764516830444336,0.5610780715942383,0.5610811785663085,False
2,21,2,0.0,0.06249848899999999,5.306854724884033,5.306854724884033,True
2,20,2,0.0,0.058062325,5.310696840286255,5.310696840286255,True
3,1750,3,3.1069720701860527e-06,0.02193737030029297,0.5322775840759277,0.5322806910479979,False
3,2617,4,3.643804680683175e-06,1.5232617855072021,2.0275702476501465,2.027573891454827,False
3,28,2,0.0,0.048365459,6.953944444656372,6.953944444656372,True
3,29,2,0.0,0.023589440000000003,7.560468912124634,7.560468912124634,True
3,30,2,0.0,0.04628533200000001,7.840965509414673,7.840965509414673,True
4,1753,3,3.1069720701860527e-06,0.02150130271911621,0.6391324996948242,0.6391356066668944,False
4,2619,4,3.643804680683175e-06,1.4445698261260986,2.065639019012451,2.065642662817132,False
4,35,2,0.0,0.032562878,6.692159652709961,6.692159652709961,True
4,32,2,0.0,0.04226759900000002,7.030017137527466,7.030017137527466,True
4,33,2,0.0,0.04362406199999999,7.467130184173584,7.467130184173584,True
5,1756,3,3.1069720701860527e-06,0.02170276641845703,0.34163331985473633,0.3416364268268065,False
5,2621,4,3.643804680683175e-06,1.3978705406188965,1.7203295230865479,1.7203331668912285,False
5,39,2,0.0,0.05343909599999999,6.830535411834717,6.830535411834717,True
5,38,2,0.0,0.054779946999999996,6.854901075363159,6.854901075363159,True
6,1759,3,3.1069720701860527e-06,0.02206254005432129,0.48251867294311523,0.4825217799151854,False
6,2623,4,3.643804680683175e-06,1.546633243560791,2.0272104740142822,2.027214117818963,False
6,45,2,0.0,0.05727818299999998,5.493757963180542,5.493757963180542,True
6,44,2,0.0,0.040804853,7.131692409515381,7.131692409515381,True
6,46,2,0.0,0.04501830000000001,7.585480690002441,7.585480690002441,True
7,1762,3,3.1069720701860527e-06,0.022541522979736328,0.35740017890930176,0.35740328588137193,False
7,54,2,6.197246867688924e-06,0.03372910700000001,0.4038083553314209,0.4038145525782886,False
7,2625,4,3.643804680683175e-06,1.788503646850586,2.1881141662597656,2.1881178100644463,False
7,50,2,0.0,0.046824088999999985,6.763866662979126,6.763866662979126,True
7,51,2,0.0,0.04033798999999999,7.112791538238525,7.112791538238525,True
8,60,2,6.197246867688924e-06,0.029208114000000007,0.39229655265808105,0.39230274990494873,False
8,1765,3,3.1069720701860527e-06,0.023836851119995117,0.3859539031982422,0.38595701017031236,False
8,2627,4,3.643804680683175e-06,1.5801019668579102,1.8819551467895508,1.8819587905942314,False
8,59,2,0.0,0.031579831,6.181026220321655,6.181026220321655,True
8,61,2,0.0,0.027796642999999996,6.687804698944092,6.687804698944092,True
8,1766,3,0.0,0.021387100219726562,7.564565181732178,7.564565181732178,True
8,58,2,0.0,0.04457750499999999,7.6236045360565186,7.6236045360565186,True
9,66,2,6.197246867688924e-06,0.03505064800000002,0.35001111030578613,0.3500173075526538,False
9,1768,3,3.1069720701860527e-06,0.031023025512695312,0.3452138900756836,0.34521699704775377,False
9,62,2,0.0,0.061204622000000014,7.410155296325684,7.410155296325684,True
9,63,2,0.0,0.059508634999999976,7.840206623077393,7.840206623077393,True
10,1771,3,3.1069720701860527e-06,0.0321657657623291,0.42963242530822754,0.4296355322802977,False
10,72,2,6.197246867688924e-06,0.02854043500000003,0.4548032283782959,0.4548094256251636,False
10,70,2,0.0,0.036088713999999994,6.499246835708618,6.499246835708618,True
10,73,2,0.0,0.026707813999999996,7.840022563934326,7.840022563934326,True
11,78,2,6.197246867688924e-06,0.02898328,0.47916603088378906,0.47917222813065674,False
11,1774,3,3.1069720701860527e-06,0.0221555233001709,0.467639684677124,0.4676427916491942,False
11,75,2,0.0,0.05413074499999998,7.222551345825195,7.222551345825195,True
11,2633,4,3.643804680683175e-06,6.730600595474243,7.233956336975098,7.233959980779779,False
11,76,2,0.0,0.035407432000000016,7.691401481628418,7.691401481628418,True
12,1777,3,3.1069720701860527e-06,0.059726715087890625,0.3570253849029541,0.3570284918750243,False
12,84,2,6.197246867688924e-06,0.036238267000000046,0.4146699905395508,0.41467618778641846,False
12,85,2,0.0,0.024735702000000012,6.2564857006073,6.2564857006073,True
12,82,2,0.0,0.05365592699999999,6.5128631591796875,6.5128631591796875,True
12,1778,3,0.0,0.02143692970275879,7.560327053070068,7.560327053070068,True
13,90,2,6.197246867688924e-06,0.025102243999999996,0.36012697219848633,0.360133169445354,False
13,1780,3,3.1069720701860527e-06,0.022690773010253906,0.36662745475769043,0.3666305617297606,False
14,96,2,6.197246867688924e-06,0.03303688299999996,0.3413405418395996,0.3413467390864673,False
14,1783,3,3.1069720701860527e-06,0.03336834907531738,0.34125256538391113,0.3412556723559813,False
14,97,2,0.0,0.03590050800000001,7.125327825546265,7.125327825546265,True
14,94,2,0.0,0.048436317000000007,7.149797677993774,7.149797677993774,True
15,1786,3,3.1069720701860527e-06,0.027660369873046875,0.3524746894836426,0.35247779645571276,False
15,102,2,6.197246867688924e-06,0.03167715999999998,0.39494967460632324,0.3949558718531909,False
15,2644,4,1.928287792185222e-06,2.190552234649658,2.477933883666992,2.4779358119547843,False
15,2643,4,6.197246867688924e-06,4.225431442260742,4.56744384765625,4.567450044903118,False
15,100,2,0.0,0.05075801399999999,6.754796028137207,6.754796028137207,True
15,98,2,0.0,0.06237848599999998,7.26003360748291,7.26003360748291,True
16,108,2,6.197246867688924e-06,0.028752074999999988,0.3260033130645752,0.3260095103114429,False
16,1789,3,6.924010128525442e-06,0.022387266159057617,0.3772454261779785,0.37725235018810704,False
16,106,2,0.0,0.037309012,5.708216905593872,5.708216905593872,True
16,109,2,0.0,0.02311017799999998,7.02768087387085,7.02768087387085,True
16,104,2,0.0,0.05953060399999999,7.334308862686157,7.334308862686157,True
17,1793,3,4.35725246073379e-06,0.021380901336669922,0.3507542610168457,0.35075861826930643,False
17,114,2,6.197246867688924e-06,0.04570381800000001,0.6389234066009521,0.6389296038478198,False
17,112,2,0.0,0.05062936199999998,7.457209825515747,7.457209825515747,True
17,115,2,0.0,0.02998920499999999,7.5280468463897705,7.5280468463897705,True
18,1796,3,4.35725246073379e-06,0.022077322006225586,0.157973051071167,0.15797740832362772,False
18,121,2,9.228200253893217e-06,0.03772569999999997,0.23728489875793457,0.23729412695818847,False
18,120,2,6.197246867688924e-06,0.03607599299999997,0.24278593063354492,0.2427921278804126,False
19,1799,3,4.35725246073379e-06,0.022101640701293945,0.22836756706237793,0.22837192431483866,False
19,126,2,6.197246867688924e-06,0.040786714,0.34226059913635254,0.3422667963832202,False
19,127,2,0.0,0.026907614999999982,4.7872254848480225,4.7872254848480225,True
20,1802,3,4.35725246073379e-06,0.021817922592163086,0.28914904594421387,0.2891534031966746,False
20,132,2,6.197246867688924e-06,0.04130817799999997,0.3170948028564453,0.317101000103313,False
20,133,2,0.0,0.025177882999999998,4.9285218715667725,4.9285218715667725,True
21,138,2,6.197246867688924e-06,0.0314302070000001,0.30634641647338867,0.30635261372025635,False
21,1805,3,4.35725246073379e-06,0.02172064781188965,0.3338613510131836,0.3338657082656443,False
21,139,2,0.0,0.024550968000000006,4.50226902961731,4.50226902961731,True
22,1808,3,4.35725246073379e-06,0.021140575408935547,0.34938478469848633,0.34938914195094706,False
22,144,2,6.197246867688924e-06,0.03128298600000001,0.4028804302215576,0.4028866274684253,False
22,145,2,0.0,0.022884386999999992,4.564865350723267,4.564865350723267,True
23,1811,3,4.35725246073379e-06,0.021088361740112305,0.2617487907409668,0.2617531479934275,False
23,150,2,6.197246867688924e-06,0.03392583299999996,0.3543126583099365,0.3543188555568042,False
23,151,2,0.0,0.027289925000000007,3.548969268798828,3.548969268798828,True
24,1814,3,4.35725246073379e-06,0.02159428596496582,0.32564234733581543,0.32564670458827616,False
