 recorded at 2023-05-24 13:39:47.954593.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./output-origin.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 0.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000,
"
 recorded at 2023-05-24 14:49:20.047827.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./output-origin.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 0.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000,
"
0,0,1,0.0,0.03202199935913086,0.07053112983703613,0.07053112983703613,True,False
0,1,1,0.0,0.03226590156555176,0.08597016334533691,0.08597016334533691,True,False
0,5,1,0.0,0.0323636531829834,0.08474874496459961,0.08474874496459961,True,False
0,4,1,0.0,0.034827232360839844,0.11137604713439941,0.11137604713439941,True,False
0,6,1,0.0,0.03282022476196289,0.09320402145385742,0.09320402145385742,True,False
0,11,2,0.0,0.06877058999999996,0.18392300605773926,0.18392300605773926,True,False
0,3,1,0.0,0.03209042549133301,0.6029095649719238,0.6029095649719238,True,False
0,7,1,0.0,0.03731083869934082,0.6746370792388916,0.6746370792388916,True,False
0,12,2,0.0,0.036397284,2.2630982398986816,2.2630982398986816,True,False
0,2,1,0.0,0.03184962272644043,2.7460248470306396,2.7460248470306396,True,False
0,14,2,0.0,0.032767905000000014,3.8485376834869385,3.8485376834869385,True,False
0,2028,3,0.0,0.021630048751831055,4.81195855140686,4.81195855140686,True,False
0,9,2,0.0,0.026465509999999998,5.3228559494018555,5.3228559494018555,True,False
0,10,2,0.0,0.027385593,6.920972108840942,6.920972108840942,True,False
0,8,2,0.0,0.02421996700000001,7.371185064315796,7.371185064315796,True,False
1,15,2,0.0,0.027542638000000008,0.05554699897766113,0.05554699897766113,False,False
1,16,2,0.0,0.02275624499999998,0.045241355895996094,0.045241355895996094,False,False
1,17,2,1.0027421918699975e-05,0.020256944,0.047966718673706055,0.04797674609562475,False,False
1,18,2,0.0,0.03970791100000001,0.07374215126037598,0.07374215126037598,True,False
1,19,2,0.0,0.03614247500000001,0.05975627899169922,0.05975627899169922,True,False
1,20,2,0.0,0.035332348999999985,0.057256460189819336,0.057256460189819336,True,False
1,21,2,0.0,0.033440312,0.061052799224853516,0.061052799224853516,True,False
1,2029,3,3.1069720701860527e-06,0.021243810653686523,0.04760408401489258,0.04760719098696276,False,False
1,2892,4,0.0,1.4715042114257812,1.4979090690612793,1.4979090690612793,False,False
1,2893,4,3.0851013158309653e-06,2.0144565105438232,2.038285732269287,2.038288817370603,False,False
1,2894,4,0.0,2.3496453762054443,2.3732917308807373,2.3732917308807373,True,False
2,22,2,0.0,0.01606574700000002,0.034241676330566406,0.034241676330566406,False,False
2,23,2,1.0027421918699975e-05,0.021143123000000014,0.049718379974365234,0.04972840739628393,False,False
2,24,2,0.0,0.02473242299999999,0.0461430549621582,0.0461430549621582,True,False
2,25,2,0.0,0.03612757500000002,0.07048821449279785,0.07048821449279785,True,False
2,26,2,0.0,0.035739892999999995,0.06404399871826172,0.06404399871826172,True,False
2,27,2,0.0,0.039474651,0.05758309364318848,0.05758309364318848,True,False
2,28,2,0.0,0.03256337000000001,0.056685447692871094,0.056685447692871094,True,False
2,2032,3,3.1069720701860527e-06,0.021491527557373047,0.05646657943725586,0.05646968640932604,False,False
2,2895,4,0.0,1.0143821239471436,1.0617220401763916,1.0617220401763916,False,False
2,2896,4,3.0851013158309653e-06,1.8153612613677979,1.8544061183929443,1.85440920349426,False,False
2,2897,4,0.0,1.8329784870147705,1.861307144165039,1.861307144165039,True,False
3,29,2,0.0,0.013977716000000001,0.03270769119262695,0.03270769119262695,False,False
3,30,2,1.0027421918699975e-05,0.02160128699999997,0.048741817474365234,0.04875184489628393,False,False
3,32,2,0.0,0.04048436,0.06664800643920898,0.06664800643920898,True,False
3,33,2,0.0,0.03761144999999999,0.06248021125793457,0.06248021125793457,True,False
3,34,2,0.0,0.038083228999999996,0.0742027759552002,0.0742027759552002,True,False
3,35,2,0.0,0.03290116400000001,0.08046412467956543,0.08046412467956543,True,False
3,2898,4,3.1069720701860527e-06,1.763662338256836,1.7850263118743896,1.78502941884646,False,False
3,2899,4,0.0,1.8564727306365967,1.881282091140747,1.881282091140747,True,False
4,36,2,0.0,0.014105651999999969,0.0346982479095459,0.0346982479095459,False,False
4,37,2,1.0027421918699975e-05,0.021148832000000006,0.046973466873168945,0.04698349429508764,False,False
