 recorded at 2023-02-09 20:29:24.179761.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 12500
"
1,1434,3,0.0,0.02353501319885254,0.22230815887451172,0.22230815887451172,False
1,14,2,4.92938953915486e-06,0.050855238,0.2928650379180908,0.29286996730763,False
1,16,2,0.0,0.04175266700000002,4.47296667098999,4.47296667098999,True
1,2028,4,3.0851013158309653e-06,5.136070013046265,5.363052129745483,5.363055214846799,False
1,15,2,0.0,0.06256149999999999,5.864253997802734,5.864253997802734,True
1,2029,4,0.0,2.0726702213287354,7.800586700439453,7.800586700439453,True
2,18,2,4.92938953915486e-06,0.022276039999999997,0.2127399444580078,0.21274487384754698,False
2,2030,4,3.0851013158309653e-06,4.739911317825317,4.9680962562561035,4.968099341357419,False
2,19,2,0.0,0.059701526999999976,6.5334248542785645,6.5334248542785645,True
3,22,2,4.92938953915486e-06,0.02377650800000003,0.1762235164642334,0.17622844585377256,False
3,2032,4,3.0851013158309653e-06,3.1294474601745605,3.2709577083587646,3.2709607934600804,False
3,23,2,0.0,0.04149294199999998,4.35675311088562,4.35675311088562,True
4,26,2,4.92938953915486e-06,0.022447219000000018,0.31146883964538574,0.3114737690349249,False
4,29,2,0.0,0.036726726000000015,4.975488662719727,4.975488662719727,True
4,28,2,0.0,0.04912309200000001,5.983771324157715,5.983771324157715,True
5,31,2,4.92938953915486e-06,0.03195615500000004,0.12457013130187988,0.12457506069141903,False
5,34,2,0.0,0.04182464999999999,5.013943910598755,5.013943910598755,True
6,36,2,4.92938953915486e-06,0.022903208000000008,0.1089332103729248,0.10893813976246396,False
6,39,2,0.0,0.045451518999999996,4.243526935577393,4.243526935577393,True
7,41,2,4.92938953915486e-06,0.02995605499999998,0.09476590156555176,0.09477083095509091,False
8,45,2,4.92938953915486e-06,0.023083480000000045,0.10059213638305664,0.10059706577259579,False
9,49,2,4.92938953915486e-06,0.026838003999999915,0.3000617027282715,0.30006663211781065,False
9,52,2,0.0,0.03983497899999999,3.857621908187866,3.857621908187866,True
10,54,2,4.92938953915486e-06,0.024715088999999968,0.10474705696105957,0.10475198635059872,False
11,59,2,4.92938953915486e-06,0.02722744399999999,0.11098790168762207,0.11099283107716122,False
12,64,2,4.92938953915486e-06,0.02919993200000004,0.15616989135742188,0.15617482074696104,False
13,68,2,4.92938953915486e-06,0.024443035000000002,0.17099452018737793,0.1709994495769171,False
14,72,2,4.92938953915486e-06,0.023493167999999898,0.1029665470123291,0.10297147640186825,False
15,77,2,4.92938953915486e-06,0.023999385000000095,0.10692906379699707,0.10693399318653622,False
16,82,2,4.92938953915486e-06,0.023637467000000023,0.1735382080078125,0.17354313739735167,False
16,1465,3,0.0,0.02176642417907715,3.8636550903320312,3.8636550903320312,True
17,1466,3,3.1069720701860527e-06,0.021059036254882812,0.11089348793029785,0.11089659490236804,False
17,87,2,4.92938953915486e-06,0.024868971000000073,0.12259459495544434,0.12259952434498349,False
18,1468,3,3.1069720701860527e-06,0.021534204483032227,0.09133219718933105,0.09133530416140125,False
18,91,2,4.92938953915486e-06,0.03280003899999995,0.12378549575805664,0.12379042514759579,False
19,1470,3,3.1069720701860527e-06,0.022042512893676758,0.12143588066101074,0.12143898763308093,False
19,95,2,4.92938953915486e-06,0.036544303,0.13418269157409668,0.13418762096363585,False
20,1472,3,3.1069720701860527e-06,0.0213010311126709,0.15319609642028809,0.15319920339235826,False
20,100,2,4.92938953915486e-06,0.02707789699999985,0.17603015899658203,0.1760350883861212,False
21,1474,3,3.1069720701860527e-06,0.021305084228515625,0.1471102237701416,0.14711333074221178,False
21,105,2,4.92938953915486e-06,0.03093580100000004,0.16123509407043457,0.16124002345997374,False
22,1476,3,3.1069720701860527e-06,0.02167367935180664,0.15584325790405273,0.1558463648761229,False
22,110,2,4.92938953915486e-06,0.028464236999999892,0.16675281524658203,0.1667577446361212,False
23,1478,3,3.1069720701860527e-06,0.021790266036987305,0.0956120491027832,0.0956151560748534,False
23,114,2,4.92938953915486e-06,0.03362588099999986,0.10207557678222656,0.10208050617176571,False
24,118,2,4.92938953915486e-06,0.02355909700000014,0.1090550422668457,0.10905997165638485,False
24,1480,3,3.1069720701860527e-06,0.021489381790161133,0.1205446720123291,0.12054777898439929,False
25,1482,3,3.1069720701860527e-06,0.02152872085571289,0.12590932846069336,0.12591243543276354,False
25,123,2,4.92938953915486e-06,0.023105326999999898,0.13899588584899902,0.1390008152385382,False
26,128,2,4.92938953915486e-06,0.02744641300000006,0.14699530601501465,0.14700023540455381,False
26,1484,3,3.1069720701860527e-06,0.022741079330444336,0.13669490814208984,0.13669801511416002,False
27,1486,3,3.1069720701860527e-06,0.0213778018951416,0.13061952590942383,0.130622632881494,False
27,133,2,4.92938953915486e-06,0.023265439,0.14397692680358887,0.14398185619312803,False
28,1488,3,3.1069720701860527e-06,0.021389484405517578,0.0970456600189209,0.09704876699099109,False
28,138,2,4.92938953915486e-06,0.023944395000000007,0.11879134178161621,0.11879627117115536,False
29,143,2,4.92938953915486e-06,0.02328527799999991,0.20006752014160156,0.20007244953114073,False
29,1490,3,3.1069720701860527e-06,0.021412134170532227,0.18433856964111328,0.18434167661318346,False
